,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
99,1932,Lake Placid,Skiing,Cross Country S,FIN,18km,M,Bronze
100,1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Gold
101,1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver
102,1932,Lake Placid,Skating,Figure skating,FRA,pairs,X,Gold
103,1932,Lake Placid,Bobsleigh,Bobsleigh,GER,four-man,M,Bronze
104,1932,Lake Placid,Ice Hockey,Ice Hockey,GER,ice hockey,M,Bronze
105,1932,Lake Placid,Skating,Figure skating,HUN,pairs,X,Bronze
106,1932,Lake Placid,Skating,Figure skating,NOR,individual,W,Gold
107,1932,Lake Placid,Skating,Speed skating,NOR,10000m,M,Silver
108,1932,Lake Placid,Skating,Speed skating,NOR,500m,M,Silver
109,1932,Lake Placid,Skiing,Cross Country S,NOR,50km,M,Bronze
110,1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Bronze
111,1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Gold
112,1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Silver
113,1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
114,1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
115,1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
116,1932,Lake Placid,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
117,1932,Lake Placid,Skating,Figure skating,SWE,individual,M,Silver
118,1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Gold
119,1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Silver
120,1932,Lake Placid,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
121,1932,Lake Placid,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
122,1932,Lake Placid,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
123,1932,Lake Placid,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
124,1932,Lake Placid,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
125,1932,Lake Placid,Skating,Figure skating,USA,individual,W,Bronze
126,1932,Lake Placid,Skating,Figure skating,USA,pairs,X,Silver
127,1932,Lake Placid,Skating,Speed skating,USA,10000m,M,Gold
128,1932,Lake Placid,Skating,Speed skating,USA,1500m,M,Gold
129,1932,Lake Placid,Skating,Speed skating,USA,5000m,M,Gold
130,1932,Lake Placid,Skating,Speed skating,USA,5000m,M,Silver
131,1932,Lake Placid,Skating,Speed skating,USA,500m,M,Gold
132,1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,individual,M,Bronze
133,1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,individual,M,Gold
134,1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,pairs,X,Silver
135,1936,Garmisch-Partenkirchen,Skating,Speed skating,AUT,10000m,M,Bronze
136,1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver
137,1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,10000m,M,Silver
138,1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,1500m,M,Bronze
139,1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Bronze
140,1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Silver
141,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,18km,M,Bronze
142,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
143,1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
144,1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,GBR,four-man,M,Bronze
145,1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Gold
146,1936,Garmisch-Partenkirchen,Skating,Figure skating,GBR,individual,W,Silver
147,1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,individual,M,Silver
148,1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,pairs,X,Gold
149,1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Gold
150,1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Silver
151,1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Gold
152,1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Silver
153,1936,Garmisch-Partenkirchen,Skating,Figure skating,HUN,pairs,X,Bronze
154,1936,Garmisch-Partenkirchen,Skating,Figure skating,NOR,individual,W,Gold
155,1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,10000m,M,Gold
156,1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Gold
157,1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Silver
